ID,OBRA,CREATED,DESCRICAO,CLASSE_COMP,INSUMO_ATUAL,IP_D,UNIDADE,COEF_SIURB
128,Obra B,2021-05-17 12:00:00,BLOCOS VAZADOS DE CONCRETO - 09CM,ALVENARIA BLOCOS DE CONCRETO 1,MAO DE OBRA,0.538823529411765,H/M2,1.3203
129,Obra B,2021-05-19 10:27:00,BLOCOS VAZADOS DE CONCRETO - 09CM,ALVENARIA BLOCOS DE CONCRETO 1,MAO DE OBRA,0.387441549766199,H/M2,1.3203
130,Obra B,2021-05-19 11:30:00,BLOCOS VAZADOS DE CONCRETO - 09CM,ALVENARIA BLOCOS DE CONCRETO 1,MAO DE OBRA,0.484848484848485,H/M2,1.3203
131,Obra B,2021-05-20 09:15:00,BLOCOS VAZADOS DE CONCRETO - 09CM,ALVENARIA BLOCOS DE CONCRETO 1,MAO DE OBRA,0.487276664861938,H/M2,1.3203
132,Obra B,2021-05-20 09:30:00,BLOCOS VAZADOS DE CONCRETO - 09CM,ALVENARIA BLOCOS DE CONCRETO 1,MAO DE OBRA,0.65359477124183,H/M2,1.3203
133,Obra B,2021-05-21 09:30:00,BLOCOS VAZADOS DE CONCRETO - 09CM,ALVENARIA BLOCOS DE CONCRETO 1,MAO DE OBRA,0.378250591016549,H/M2,1.3203
134,Obra B,2021-05-22 09:15:00,BLOCOS VAZADOS DE CONCRETO - 09CM,ALVENARIA BLOCOS DE CONCRETO 1,MAO DE OBRA,0.686813186813187,H/M2,1.3203
135,Obra B,2021-05-24 11:37:30,BLOCOS VAZADOS DE CONCRETO - 09CM,ALVENARIA BLOCOS DE CONCRETO 1,MAO DE OBRA,1.01086956521739,H/M2,1.3203
136,Obra B,2021-05-24 12:02:30,BLOCOS VAZADOS DE CONCRETO - 09CM,ALVENARIA BLOCOS DE CONCRETO 1,MAO DE OBRA,5.19125683060109,H/M2,1.3203
137,Obra B,2021-05-25 11:30:00,BLOCOS VAZADOS DE CONCRETO - 09CM,ALVENARIA BLOCOS DE CONCRETO 1,MAO DE OBRA,4.16666666666667,H/M2,1.3203
